Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
(millions)","Revenue 
Change","Profits
(millions)","Profit 
Change","Assets
(millions)","Market Value 
As of 3/31/22 (m)",,,,,,,,
81,Tyson Foods,137000,-8 ,47049,8.9,3047.0 ,47.8,36309,32488,,,,,,,,
82,Bristol-Myers Squibb,32200,-7 ,46385,9.1,6994.0 ,NULL,109314,155204,,,,,,,,
83,Nike,73300,2 ,44538,19.1,5727.0 ,125.6,37740,212779,,,,,,,,
84,Deere,75550,4 ,44024,23.9,5963.0 ,116.8,84114,127457,,,,,,,,
85,American Express,64000,-2 ,43663,14.3,8060.0 ,157.1,188548,141613,,,,,,,,
86,Abbott Laboratories,113000,3 ,43075,24.5,7071.0 ,57.3,75196,208726,,,,,,,,
87,StoneX Group,3242,-29 ,42534,-21.4,116.3 ,-31.4,18840,1494,,,,,,,,
88,Plains GP Holdings,4100,39 ,42078,80.7,60.0 ,NULL,29978,2243,,,,,,,,
89,Enterprise Products Partners,6911,16 ,40807,50.0,4637.7 ,22.8,67526,56172,,,,,,,,
90,TIAA,15065,-11 ,40526,-2.6,4060.7 ,627.6,698191,NULL,,,,,,,,
91,Oracle,132000,-11 ,40479,3.6,13746.0 ,35.6,131107,220737,,,,,,,,
92,Thermo Fisher Scientific,129000,3 ,39211,21.7,7725.0 ,21.2,95123,231057,,,,,,,,
93,Coca-Cola,79000,NULL,38655,17.1,9771.0 ,26.1,94354,268770,,,,,,,,
94,General Dynamics,103100,-10 ,38469,1.4,3257.0 ,2.8,50073,67081,,,,,,,,
95,CHS,9941,8 ,38448,35.4,554.0 ,31.1,17576,NULL,,,,,,,,
96,USAA,37335,-9 ,37470,3.2,3300.0 ,-15.5,210677,NULL,,,,,,,,
97,Northwestern Mutual,7585,-7 ,36751,8.8,977.8 ,130.1,334654,NULL,,,,,,,,
98,Nucor,28800,51 ,36484,81.2,6827.5 ,846.3,25823,39954,,,,,,,,
99,Exelon,31518,-7 ,36347,10.0,1706.0 ,-13.1,133013,46684,,,,,,,,
100,Massachusetts Mutual Life Insurance,10052,23 ,35900,51.7,319.3 ,NULL,383292,NULL,,,,,,,,
101,Northrop Grumman,88000,-15 ,35667,-3.1,7005.0 ,119.7,42579,69812,,,,,,,,
102,3M,95000,-6 ,35355,9.9,5921.0 ,10.0,47072,84738,,,,,,,,
103,Travelers,30492,-5 ,34816,8.9,3662.0 ,35.8,120466,44129,,,,,,,,
104,Arrow Electronics,20700,-2 ,34477,20.2,1108.2 ,89.6,19536,7951,,,,,,,,
105,Honeywell International,99000,-11 ,34392,5.4,5542.0 ,16.0,64470,133381,,,,,,,,
106,Dollar General,163000,-15 ,34220,1.4,2399.2 ,-9.6,26327,50953,,,,,,,,
107,Qualcomm,45000,17 ,33566,42.6,9043.0 ,74.0,41240,172228,,,,,,,,
108,Capital One Financial,50767,-9 ,32033,1.2,12390.0 ,356.5,432381,53260,,,,,,,,
109,TD Synnex,27000,8 ,31614,28.1,395.1 ,-25.3,27666,9854,,,,,,,,
110,Philip Morris International,69600,-9 ,31405,9.4,9109.0 ,13.1,41290,145615,,,,,,,,
111,World Fuel Services,4414,36 ,31337,53.9,73.7 ,-32.8,5942,1716,,,,,,,,
112,Performance Food Group,22885,2 ,30399,21.2,40.7 ,NULL,7846,7881,,,,,,,,
113,Delta Air Lines,83000,65 ,29899,74.9,280.0 ,NULL,72459,25322,,,,,,,,
114,American Airlines Group,123400,60 ,29882,72.4,-1993.0 ,NULL,66467,11847,,,,,,,,
115,Netflix,11300,NULL,29698,18.8,5116.2 ,85.3,44585,166304,,,,,,,,
116,Paramount Global,25115,-7 ,29579,13.0,4543.0 ,87.6,58620,24629,,,,,,,,
117,US Foods Holding,28000,11 ,29487,28.8,164.0 ,NULL,12521,8392,,,,,,,,
118,Danaher,79000,12 ,29453,32.2,6433.0 ,76.4,83184,209993,,,,,,,,
119,Jabil,238000,-15 ,29285,7.4,696.0 ,1191.0,16654,8857,,,,,,,,
120,Starbucks,383000,5 ,29061,23.6,4199.3 ,352.4,31393,104643,,,,,,,,
121,Mondelez International,79000,-13 ,28720,8.0,4300.0 ,21.0,67092,87159,,,,,,,,
122,Eli Lilly,35238,-4 ,28318,15.4,5581.7 ,-9.9,48806,272724,,,,,,,,
123,Hewlett Packard Enterprise,60400,-17 ,27784,3.0,3427.0 ,NULL,57699,21725,,,,,,,,
124,D.R. Horton,11788,24 ,27774,36.7,4175.8 ,75.9,24016,26403,,,,,,,,
125,Molina Healthcare,14000,30 ,27771,43.0,659.0 ,-2.1,12209,19573,,,,,,,,
126,CBRE Group,105000,-4 ,27746,16.5,1836.6 ,144.2,22074,30414,,,,,,,,
127,Micron Technology,43000,8 ,27705,29.3,5861.0 ,118.1,58849,86977,,,,,,,,
128,Broadcom,20000,-7 ,27450,14.9,6736.0 ,127.6,75570,257087,,,,,,,,
129,Gilead Sciences,14400,-13 ,27305,10.6,6225.0 ,4961.0,67952,74657,,,,,,,,
130,PBF Energy,3418,73 ,27253,80.3,231.0 ,NULL,11641,2933,,,,,,,,
131,Lennar,10753,-2 ,27131,20.6,4430.1 ,79.7,33208,23413,,,,,,,,
132,United Natural Foods,28300,-25 ,26992,0.9,149.0 ,NULL,7525,2409,,,,,,,,
133,NRG Energy,6635,200 ,26989,196.8,2187.0 ,328.8,23182,9289,,,,,,,,
134,Nvidia,22473,50 ,26914,61.4,9752.0 ,125.1,44187,684879,,,,,,,,
135,Occidental Petroleum,11678,48 ,26772,60.5,2322.0 ,NULL,75036,53160,,,,,,,,
136,Salesforce,73541,1 ,26492,24.7,1444.0 ,-64.5,95209,210197,,,,,,,,
137,Dollar Tree,136226,-26 ,26321,3.2,1327.9 ,-1.0,21722,36051,,,,,,,,
138,KKR,3238,178 ,26141,171.5,4666.5 ,133.0,264285,51543,,,,,,,,
139,Kraft Heinz,36000,-29 ,26042,-0.5,1012.0 ,184.3,93394,48249,,,,,,,,
140,Amgen,24200,-28 ,25979,2.2,5893.0 ,-18.9,61165,134701,,,,,,,,
141,AutoNation,22200,4 ,25844,26.7,1373.0 ,259.8,8944,6111,,,,,,,,
142,Penske Automotive Group,24797,1 ,25555,25.0,1187.8 ,118.5,13465,7197,,,,,,,,
143,PayPal Holdings,30900,-9 ,25371,18.3,4169.0 ,-0.8,75803,134733,,,,,,,,
144,Macy's,88857,20 ,25292,39.8,1430.0 ,NULL,17590,7123,,,,,,,,
145,Duke Energy,27605,-19 ,24677,5.2,3908.0 ,183.8,169587,85967,,,,,,,,
146,United Airlines Holdings,84100,54 ,24634,60.4,-1964.0 ,NULL,68175,15050,,,,,,,,
147,Visa,21500,-14 ,24105,10.3,12311.0 ,13.3,82896,480023,,,,,,,,
148,Rite Aid,50000,-16 ,24043,9.6,-90.9 ,NULL,9335,488,,,,,,,,
149,Cummins,59900,1 ,24021,21.3,2131.0 ,19.1,23710,29141,,,,,,,,
150,U.S. Bancorp,68796,-37 ,23714,-6.0,7963.0 ,60.6,573284,78930,,,,,,,,
151,Paccar,28500,8 ,23522,25.6,1852.1 ,42.6,29302,30620,,,,,,,,
152,McDonald's,200000,5 ,23223,20.9,7545.2 ,59.5,53854,183874,,,,,,,,
153,Southern,27164,-7 ,23113,13.4,2393.0 ,-23.3,127534,76877,,,,,,,,
154,C.H. Robinson Worldwide,16877,37 ,23102,42.5,844.2 ,66.7,7028,13856,,,,,,,,
155,Truist Financial,51462,-36 ,23064,-5.6,6440.0 ,43.7,541241,75354,,,,,,,,
156,Applied Materials,27000,20 ,23063,34.1,5888.0 ,62.7,25825,116431,,,,,,,,
157,Freeport-McMoRan,24700,58 ,22845,60.9,4306.0 ,618.9,48022,72361,,,,,,,,
158,Lithia Motors,21150,73 ,22832,74.0,1060.0 ,125.4,11147,8910,,,,,,,,
159,Blackstone,3795,295 ,22577,270.0,5857.4 ,460.3,41196,88907,,,,,,,,
160,Hartford Financial Services Group,18100,-18 ,22390,9.1,2365.0 ,36.2,76578,23816,,,,,,,,
161,Aflac,12447,-30 ,22106,-0.2,4325.0 ,-9.5,157542,41813,,,,,,,,
162,Whirlpool,69000,-8 ,21985,13.0,1783.0 ,64.9,20285,10101,,,,,,,,
163,Union Pacific,32124,-10 ,21804,11.6,6523.0 ,21.9,63525,171682,,,,,,,,
164,International Paper,38200,-23 ,21780,5.8,1752.0 ,263.5,25243,17301,,,,,,,,
165,Altria Group,6000,-27 ,21111,1.3,2475.0 ,-44.6,39523,94952,,,,,,,,
166,CDW,13900,-5 ,20821,12.7,988.6 ,25.4,13199,24140,,,,,,,,
167,ManpowerGroup,30000,-2 ,20724,15.1,382.4 ,1506.7,9829,5026,,,,,,,,
168,PG&E,26000,-8 ,20642,11.8,-102.0 ,NULL,103327,29434,,,,,,,,
169,Carrier Global,58000,2 ,20613,18.1,1664.0 ,-16.0,26172,39127,,,,,,,,
170,Baker Hughes,54000,-30 ,20502,-1.0,-219.0 ,NULL,35308,37410,,,,,,,,
171,Cleveland-Cliffs,26000,330 ,20444,281.8,2988.0 ,NULL,18975,16891,,,,,,,,
172,United States Steel,24540,138 ,20275,108.1,4174.0 ,NULL,17816,9832,,,,,,,,
173,Becton Dickinson,75000,4 ,20248,18.3,2092.0 ,139.4,53866,75749,,,,,,,,
174,CarMax,26889,-38 ,20092,-6.2,746.9 ,-15.9,21542,15599,,,,,,,,
175,Sherwin-Williams,61626,-13 ,19945,8.6,1864.4 ,-8.2,20667,65038,,,,,,,,
176,Builders FirstSource,28000,174 ,19894,132.4,1725.4 ,450.3,10714,11409,,,,,,,,
177,Marsh & McLennan,83000,-2 ,19820,15.1,3143.0 ,55.9,34388,85681,,,,,,,,
178,PNC Financial Services Group,58547,-58 ,19698,-18.1,5674.0 ,-24.5,557191,77203,,,,,,,,
179,Lumen Technologies,36000,-40 ,19687,-4.9,2033.0 ,NULL,57993,11533,,,,,,,,
180,Avnet,14500,-12 ,19535,10.8,193.1 ,NULL,8925,4017,,,,,,,,
181,Tenet Healthcare,88968,-14 ,19485,10.5,914.0 ,129.1,27579,9388,,,,,,,,
182,Kimberly-Clark,45000,-24 ,19440,1.6,1814.0 ,-22.9,17837,41496,,,,,,,,
183,Kohl's,67000,12 ,19433,21.8,938.0 ,NULL,15054,7775,,,,,,,,
184,BlackRock,18400,8 ,19374,19.6,5901.0 ,19.6,152648,116186,,,,,,,,
185,Jones Lang LaSalle,98200,1 ,19367,16.7,961.6 ,138.9,15505,11946,,,,,,,,
186,Lear,160100,-7 ,19263,13.0,373.9 ,135.9,13352,8513,,,,,,,,
187,Lincoln National,10848,-15 ,19230,10.3,1405.0 ,181.6,387301,11272,,,,,,,,
188,Charles Schwab,33400,63 ,18996,56.9,5855.0 ,77.5,667270,159676,,,,,,,,
189,Ross Stores,100000,53 ,18916,50.9,1722.6 ,1917.5,13640,31742,,,,,,,,
190,Mastercard,24000,11 ,18884,23.4,8687.0 ,35.5,37669,349331,,,,,,,,
191,Genuine Parts,52000,-18 ,18871,8.5,898.8 ,NULL,14352,17888,,,,,,,,
192,WestRock,49900,-22 ,18746,6.6,838.3 ,NULL,29254,12379,,,,,,,,
193,EOG Resources,2800,92 ,18642,69.0,4664.0 ,NULL,38236,69796,,,,,,,,
194,Cognizant Technology Solutions,330600,-9 ,18507,11.1,2137.0 ,53.5,17852,47035,,,,,,,,
195,Moderna,2700,NULL,18471,2199.1,12202.0 ,NULL,24669,69424,,,,,,,,
196,Steel Dynamics,10640,123 ,18409,91.7,3214.1 ,483.5,12531,15812,,,,,,,,
197,HF Sinclair,4208,82 ,18389,64.4,558.3 ,NULL,12917,8896,,,,,,,,
198,Texas Instruments,31000,12 ,18344,26.9,7769.0 ,38.9,24676,169330,,,,,,,,
199,Emerson Electric,86700,-18 ,18236,8.6,2303.0 ,17.2,24715,58242,,,,,,,,
200,WESCO International,18000,45 ,18218,47.8,465.4 ,362.8,12618,6599,,,,,,,,
201,General Mills,35000,-32 ,18127,2.8,2339.8 ,7.3,31842,40782,,,,,,,,
202,Tenneco,71000,-3 ,18035,17.3,35.0 ,NULL,11622,1523,,,,,,,,
203,Waste Management,48500,-1 ,17931,17.8,1816.0 ,21.4,29097,65803,,,,,,,,
204,Viatris,37000,50 ,17886,49.7,-1269.1 ,NULL,54843,13160,,,,,,,,
205,DISH Network,14500,-8 ,17881,15.4,2410.6 ,36.8,48002,16743,,,,,,,,
206,L3Harris Technologies,47000,-43 ,17814,-2.1,1846.0 ,65.0,34709,47970,,,,,,,,
207,DXC Technology,134000,-55 ,17729,-9.4,-149.0 ,NULL,22038,7977,,,,,,,,
208,Block,8521,115 ,17661,86.0,166.3 ,-22.0,13926,78656,,,,,,,,
209,Goodyear Tire & Rubber,72000,37 ,17478,41.9,764.0 ,NULL,21402,4029,,,,,,,,
210,Uber Technologies,29300,71 ,17455,56.7,-496.0 ,NULL,38774,69753,,,,,,,,
211,Colgate-Palmolive,33800,-23 ,17421,5.8,2166.0 ,-19.6,15040,63742,,,,,,,,
212,Stanley Black & Decker,71300,-3 ,17253,18.7,1689.2 ,36.9,28180,22843,,,,,,,,
213,DuPont,28000,-69 ,17160,-15.9,6467.0 ,NULL,45707,37740,,,,,,,,
214,Stryker,46000,-2 ,17108,19.2,1994.0 ,24.7,34631,100978,,,,,,,,
215,NextEra Energy,15000,-49 ,17069,-5.2,3573.0 ,22.4,140912,166264,,,,,,,,
216,Targa Resources,2430,148 ,16950,105.2,71.2 ,NULL,15208,17244,,,,,,,,
217,Western Digital,65600,-35 ,16922,1.1,821.0 ,NULL,26132,15536,,,,,,,,
218,PPG Industries,49300,2 ,16802,21.5,1439.0 ,35.9,21351,30952,,,,,,,,
219,American Electric Power,16688,-15 ,16792,12.6,2488.1 ,13.1,87669,50339,,,,,,,,
220,Gap,97000,1 ,16670,20.8,256.0 ,NULL,12761,5207,,,,,,,,
221,BJ's Wholesale Club,34000,-23 ,16667,8.0,426.7 ,1.3,5669,9147,,,,,,,,
222,Reinsurance Group of America,3500,-15 ,16658,14.1,617.0 ,48.7,92175,7355,,,,,,,,
223,Kinder Morgan,10529,39 ,16610,42.0,1784.0 ,1399.2,70416,42878,,,,,,,,
224,Oneok,2847,127 ,16540,93.6,1499.7 ,144.7,23622,31516,,,,,,,,
225,Expeditors Intl. of Washington,19070,74 ,16524,72.4,1415.5 ,103.3,7610,17269,,,,,,,,
226,Advanced Micro Devices,15500,83 ,16434,68.3,3162.0 ,27.0,12419,177936,,,,,,,,
227,Fiserv,44000,-22 ,16226,9.3,1334.0 ,39.2,76249,66133,,,,,,,,
228,Estée Lauder,53320,-15 ,16215,13.4,2870.0 ,319.6,21971,97672,,,,,,,,
229,Bank of New York Mellon,49100,-49 ,16158,-4.6,3759.0 ,3.9,444438,40057,,,,,,,,
230,Laboratory Corp. of America,71725,-12 ,16121,15.3,2377.3 ,52.8,20385,24626,,,,,,,,
231,Regeneron Pharmaceuticals,10368,123 ,16072,89.1,8075.3 ,129.9,25435,75806,,,,,,,,
232,Land O'Lakes,9000,-13 ,15916,14.1,287.4 ,8.5,9560,NULL,,,,,,,,
233,Cheniere Energy,1550,95 ,15864,69.5,-2343.0 ,NULL,39258,35272,,,,,,,,
234,Southwest Airlines,55093,102 ,15790,74.5,977.0 ,NULL,36320,27129,,,,,,,,
235,Adobe,25988,-1 ,15785,22.7,4822.0 ,-8.3,27241,215281,,,,,,,,
236,Synchrony Financial,18000,-49 ,15752,-4.4,4221.0 ,204.8,95748,18146,,,,,,,,
237,Corteva,21000,-23 ,15655,10.1,1759.0 ,158.3,42344,41775,,,,,,,,
238,Fidelity National Financial,28290,50 ,15643,45.1,2422.0 ,69.7,60690,13850,,,,,,,,
239,DTE Energy,10300,11 ,15369,26.2,907.0 ,-33.7,39719,25615,,,,,,,,
240,Murphy USA,10430,82 ,15319,61.2,396.9 ,2.8,4048,4889,,,,,,,,
241,Halliburton,40000,-30 ,15295,5.9,1457.0 ,NULL,22321,34029,,,,,,,,
242,Automatic Data Processing,56000,-34 ,15005,2.8,2598.5 ,5.4,48773,95577,,,,,,,,
243,Edison International,13003,-17 ,14905,9.8,759.0 ,2.7,74745,26694,,,,,,,,
244,BorgWarner,49300,51 ,14838,46.0,537.0 ,7.4,16575,9335,,,,,,,,
245,Nordstrom,72000,44 ,14789,38.0,178.0 ,NULL,8869,4321,,,,,,,,
246,Loews,10340,-7 ,14657,16.5,1578.0 ,NULL,81626,15971,,,,,,,,
247,Guardian Life Ins. Co. of America,9150,-20 ,14648,8.0,288.8 ,1128.5,90420,NULL,,,,,,,,
248,Pioneer Natural Resources,1932,180 ,14643,119.0,2118.0 ,NULL,36811,60728,,,,,,,,
249,AutoZone,85050,-11 ,14630,15.8,2170.3 ,25.2,14516,40583,,,,,,,,
250,Lam Research,14100,54 ,14626,45.6,3908.5 ,73.6,15892,74997,,,,,,,,
251,American Family Insurance Group,13590,-19 ,14612,11.8,734.5 ,82.2,36316,NULL,,,,,,,,
252,Illinois Tool Works,45000,-12 ,14455,15.0,2694.0 ,27.7,16077,65312,,,,,,,,
253,Parker-Hannifin,54640,-30 ,14348,4.8,1746.1 ,44.7,20341,36457,,,,,,,,
254,Otis Worldwide,70000,-18 ,14298,12.1,1246.0 ,37.5,12279,32701,,,,,,,,
255,Omnicom Group,71700,-26 ,14289,8.5,1407.8 ,48.9,28422,17566,,,,,,,,
256,Principal Financial,18600,-50 ,14263,-3.2,1710.6 ,22.6,304657,19177,,,,,,,,
257,Dominion Energy,17100,-64 ,14218,-11.8,3288.0 ,NULL,99590,68883,,,,,,,,
258,Kellogg,31000,-36 ,14181,3.0,1488.0 ,18.9,18178,21890,,,,,,,,
259,Fluor,40582,-63 ,14157,-10.9,-440.2 ,NULL,7280,4052,,,,,,,,
260,AECOM,51000,-71 ,14112,-13.9,173.2 ,NULL,11734,10857,,,,,,,,
261,Reliance Steel & Aluminum,13950,82 ,14093,59.9,1413.0 ,282.8,9536,11314,,,,,,,,
262,Jacobs Engineering Group,53500,-37 ,14093,3.8,477.0 ,-3.0,14633,17807,,,,,,,,
263,Corning,61200,14 ,14082,24.6,1906.0 ,272.3,30154,31213,,,,,,,,
264,Farmers Insurance Exchange,11787,-8 ,14055,18.4,-366.8 ,NULL,21741,NULL,,,,,,,,
265,Qurate Retail,26745,-49 ,14044,-0.9,340.0 ,-71.8,16249,1807,,,,,,,,
266,Pacific Life,3861,37 ,13936,38.5,1102.0 ,NULL,209486,NULL,,,,,,,,
267,PulteGroup,6182,17 ,13927,26.2,1946.3 ,38.3,13353,10116,,,,,,,,
268,Fidelity National Information Services,65000,-27 ,13877,10.6,417.0 ,163.9,82931,61215,,,,,,,,
269,IQVIA Holdings,79000,6 ,13874,22.1,966.0 ,246.2,24689,44141,,,,,,,,
270,Marriott International,120000,23 ,13857,31.1,1099.0 ,NULL,25553,57515,,,,,,,,
271,Berry Global Group,47000,-10 ,13850,18.3,733.0 ,31.1,17882,7832,,,,,,,,
272,Ball,24300,-12 ,13811,17.2,878.0 ,50.1,19714,28909,,,,,,,,
273,Group 1 Automotive,13711,13 ,13802,27.2,552.1 ,92.7,5749,2860,,,,,,,,
274,Leidos Holdings,43000,-26 ,13737,11.7,753.0 ,19.9,13261,14728,,,,,,,,
275,Wayfair,16681,-58 ,13708,-3.1,-131.0 ,-170.8,4570,11642,,,,,,,,
276,Consolidated Edison,13871,-27 ,13676,11.7,1346.0 ,22.3,63116,33525,,,,,,,,
277,Ameriprise Financial,12000,-24 ,13443,12.4,2760.0 ,79.9,175979,33213,,,,,,,,
278,Xcel Energy,11321,-6 ,13431,16.5,1597.0 ,8.4,57851,39276,,,,,,,,
279,O'Reilly Automotive,76158,-11 ,13328,14.8,2164.7 ,23.5,11719,45410,,,,,,,,
280,Global Partners,2960,81 ,13248,59.2,60.8 ,-40.5,2831,927,,,,,,,,
