Rank,Company Name,Number of Employees,"Change in 
Rank","Revenues
(millions)","Revenue 
Change","Profits
(millions)","Profit 
Change","Assets
(millions)","Market Value 
As of 3/31/21 (m)"
396,KeyCorp,16826,15 ,7337,-4.6,1343.0 ,-21.8,170336,19182
397,Delek US Holdings,3532,-55 ,7302,-21.5,-608.0 ,-295.8,6134,1609
398,Masco,18000,-14 ,7289,-11.5,1224.0 ,30.9,5777,15209
399,Graybar Electric,8200,16 ,7266,-3.4,121.8 ,-15.7,2551,NULL
400,WEC Energy Group,7273,16 ,7242,-3.7,1199.9 ,5.8,37028,29522
401,Old Republic International,9000,26 ,7166,-0.7,558.6 ,-47.1,22815,6650
402,Frontier Communications,16200,-9 ,7155,-11.7,-402.0 ,NULL,16795,29
403,Chewy,18500,156 ,7146,47.4,-92.5 ,NULL,1741,35177
404,PVH,26500,-82 ,7133,-28.0,-1136.1 ,-372.3,13294,7523
405,Asbury Automotive Group,7750,23 ,7132,-1.1,254.4 ,38.0,3676,3798
406,Seaboard,13100,38 ,7126,4.2,283.0 ,NULL,6399,4283
407,Polaris,15000,35 ,7108,3.6,124.8 ,-61.5,4633,8179
408,Dana,38200,-41 ,7106,-17.6,-31.0 ,-113.7,7376,3529
409,First American Financial,19597,67 ,7087,14.3,696.4 ,-1.6,12796,6217
410,Cintas,40000,31 ,7085,2.8,876.0 ,-1.0,7670,35851
411,Toll Brothers,4500,15 ,7078,-2.0,446.6 ,-24.3,11066,6985
412,Science Applications International,26134,54 ,7056,10.6,209.0 ,-7.5,5723,4854
413,Owens Corning,19000,18 ,7055,-1.5,-383.0 ,-194.6,9481,9663
414,Zimmer Biomet Holdings,20000,-15 ,7025,-12.0,-138.9 ,-112.3,24418,33347
415,Xerox Holdings,24700,-68 ,7022,-23.2,192.0 ,-85.8,14741,4821
416,Arthur J. Gallagher,32401,13 ,7004,-2.7,818.8 ,22.4,22331,24353
417,Avery Dennison,32000,18 ,6972,-1.4,555.9 ,83.1,6084,15247
418,Sanmina,33500,-33 ,6960,-15.5,139.7 ,-1.3,3773,2687
419,Jefferies Financial Group,4945,101 ,6956,29.8,775.2 ,-19.6,53118,7525
420,Beacon Roofing Supply,7582,14 ,6944,-2.3,-80.9 ,NULL,6958,3631
421,Securian Financial Group,6537,34 ,6870,4.1,243.3 ,-44.1,68059,NULL
422,Oshkosh,14400,-45 ,6857,-18.2,324.5 ,-44.0,5816,8115
423,FM Global,5625,24 ,6798,0.8,1731.9 ,-30.1,27976,NULL
424,Booking Holdings,20199,-214 ,6796,-54.9,59.0 ,-98.8,21874,95434
425,Williams-Sonoma,16600,64 ,6783,15.0,680.7 ,91.2,4661,13654
426,Coty,18260,-60 ,6738,-22.1,-1006.7 ,NULL,16729,6909
427,Clorox,8800,47 ,6721,8.2,939.0 ,14.5,6213,24263
428,Pioneer Natural Resources,1853,-87 ,6685,-28.3,-200.0 ,-125.9,19229,34397
429,Dover,23000,4 ,6684,-6.3,683.5 ,0.8,9152,19727
430,CMS Energy,8493,13 ,6680,-2.4,755.0 ,11.0,29666,17719
431,Zoetis,11300,41 ,6675,6.6,1638.0 ,9.2,13609,74829
432,Hanesbrands,61000,4 ,6664,-4.3,-75.6 ,-112.6,7699,6865
433,Packaging Corp. of America,15200,4 ,6658,-4.4,461.0 ,-33.8,7433,12775
434,Regions Financial,19406,12 ,6655,-1.5,1094.0 ,-30.8,147389,19848
435,Graphic Packaging Holding,18775,42 ,6560,6.5,167.3 ,-19.1,7805,4862
436,UGI,11300,-13 ,6559,-10.4,532.0 ,107.7,13985,8553
437,Sprouts Farmers Market,33000,65 ,6469,14.8,287.5 ,92.1,2806,3140
438,Avantor,12400,46 ,6394,5.8,116.6 ,208.5,9907,16631
439,Veritiv,6400,-27 ,6346,-17.2,34.2 ,NULL,2335,680
440,Rockwell Automation,23500,12 ,6330,-5.5,1023.4 ,47.1,7265,30832
441,MasTec,18000,-11 ,6321,-12.0,322.8 ,-17.7,5228,6953
442,DCP Midstream,1837,-29 ,6302,-17.4,-306.0 ,-1900.0,12957,4513
443,Northern Trust,20900,-3 ,6301,-8.6,1209.3 ,-19.0,170004,21854
444,M&T Bank,17046,-6 ,6281,-9.5,1353.2 ,-29.9,142601,19502
445,Realogy Holdings,9335,45 ,6221,6.0,-360.0 ,NULL,6934,1767
446,NCR,36000,-7 ,6207,-10.2,-79.0 ,-114.0,8414,4943
447,T. Rowe Price,7678,57 ,6207,10.5,2372.7 ,11.3,10659,39031
448,Vertex Pharmaceuticals,3400,178 ,6206,49.1,2711.6 ,130.4,11752,55863
449,Big Lots,23900,77 ,6199,16.5,629.2 ,159.5,4037,2394
450,Ralph Lauren,19300,19 ,6160,-2.4,384.3 ,-10.8,7280,9005
451,Ulta Beauty,26500,-33 ,6152,-16.8,175.8 ,-75.1,5090,17377
452,Taylor Morrison Home,2700,115 ,6129,28.7,243.4 ,-4.4,7738,3969
453,Icahn Enterprises,23833,-101 ,6123,-31.9,-1653.0 ,NULL,24987,12965
454,Blackstone Group,3165,-34 ,6102,-16.8,1045.4 ,-49.0,26269,50967
455,O-I Glass,25000,-2 ,6091,-9.0,249.0 ,NULL,8882,2327
456,Fortune Brands Home & Security,27505,38 ,6090,5.7,553.1 ,28.1,7359,13264
457,NOV,27631,-83 ,6090,-28.2,-2542.0 ,NULL,9929,5326
458,Ovintiv,1916,-9 ,6087,-9.5,-6097.0 ,-2705.6,14469,6220
459,Alexion Pharmaceuticals,3837,88 ,6070,21.6,603.4 ,-74.9,18103,33596
460,Huntsman,9000,-78 ,6025,-27.8,1034.0 ,84.0,8713,6390
461,Equinix,10013,48 ,5999,7.8,369.8 ,-27.1,27007,60679
462,ABM Industries,114000,NULL,5988,-7.9,0.3 ,-99.8,3777,3422
463,Ingredion,12000,12 ,5987,-3.6,348.0 ,-15.7,6858,6035
464,Chipotle Mexican Grill,88000,42 ,5985,7.1,355.8 ,1.6,5983,39988
465,Sinclair Broadcast Group,11600,157 ,5943,40.2,-2414.0 ,-5236.2,13382,2167
466,LPL Financial Holdings,4756,37 ,5872,4.4,472.6 ,-15.6,6524,11359
467,Crown Castle International,4900,29 ,5840,1.3,1056.0 ,22.8,38768,74392
468,KLA,10600,120 ,5806,27.1,1216.8 ,3.5,9280,50906
469,Ameren,9183,19 ,5794,-2.0,871.0 ,5.2,32030,20780
470,KBR,29000,31 ,5767,2.3,-72.0 ,-135.6,5705,5407
471,Burlington Stores,35246,-47 ,5764,-20.9,-216.5 ,-146.5,6781,19836
472,Olin,8000,9 ,5758,-5.8,-969.9 ,NULL,8271,6024
473,CACI International,22900,76 ,5720,14.7,321.5 ,21.0,5543,6224
474,Post Holdings,10200,25 ,5699,0.3,0.8 ,-99.4,12147,6805
475,Academy Sports and Outdoors,16500,NULL,5689,17.8,308.8 ,157.2,4385,2459
476,Arconic,13400,NULL,5675,NULL,-109.0 ,NULL,6314,2793
477,Celanese,7658,-7 ,5655,-10.2,1985.0 ,133.0,10909,17105
478,Yum Brands,38000,27 ,5652,1.0,904.0 ,-30.1,5852,32460
479,Fastenal,20365,46 ,5647,5.9,859.1 ,8.6,3965,28878
480,Nasdaq,4830,140 ,5627,32.0,933.0 ,20.5,17979,24301
481,Analog Devices,15900,6 ,5603,-6.5,1220.8 ,-10.4,21469,57208
482,McCormick,13000,41 ,5601,4.7,747.4 ,6.4,12090,23809
483,Carvana,10400,168 ,5587,41.8,-171.1 ,NULL,3035,45475
484,Franklin Resources,11800,9 ,5567,-3.6,798.9 ,-33.2,20221,14960
485,Electronic Arts,9800,65 ,5537,11.9,3039.0 ,198.2,11112,38936
486,MDU Resources Group,12994,38 ,5533,3.7,390.2 ,16.3,8053,6360
487,Select Medical Holdings,42350,28 ,5532,1.4,259.0 ,74.5,7655,4598
488,Roper Technologies,18400,30 ,5527,3.0,949.7 ,-46.3,24025,42326
489,RPM International,14621,19 ,5507,-1.0,304.4 ,14.2,5631,11950
490,Cerner,26400,8 ,5506,-3.3,780.1 ,47.3,7521,22016
491,Patterson,7800,16 ,5490,-1.5,-588.4 ,-803.6,2715,3088
492,Commercial Metals,11297,-1 ,5477,-6.0,279.5 ,41.1,4082,3717
493,Boise Cascade,6040,86 ,5475,17.9,175.0 ,116.2,1966,2353
494,Hasbro,6822,80 ,5465,15.8,222.5 ,-57.2,10818,13202
495,A-Mark Precious Metals,218,70 ,5461,14.2,30.5 ,1271.2,758,360
496,Camping World Holdings,11427,59 ,5447,11.3,122.3 ,NULL,3256,3453
497,NetApp,10800,-19 ,5412,-11.9,819.0 ,-29.9,7522,16176
498,Avis Budget Group,17500,-153 ,5402,-41.1,-684.0 ,-326.5,17538,5068
499,R.R. Donnelley & Sons,33000,-28 ,5399,-14.0,98.5 ,NULL,3131,290
500,Moody's,11490,61 ,5371,11.2,1778.0 ,25.0,12409,55885
